Identificador de URL,Costo,Precio
VENDA-ADHERENTE-FLEX-HIPOALERGIC-TIPO-COBAN-10-cm-x-45-mts,1190.0,1428
PARCHE-OCULAR-HIPOALERGIC-ADULTO-x-20-u,1995.0,2394
CINTA-ADHESIVA-NEUROMUSCULAR-KIN-HIPOALERGIC-5-cm-x-1-mts-NEGRO,1023.0,1228
CINTA-ADHESIVA-NEUROMUSCULAR-KIN-HIPOALERGIC-5-cm-x-1-mts-ROJO,1023.0,1228
CINTA-ADHESIVA-NEUROMUSCULAR-KIN-HIPOALERGIC-5-cm-x-1-mts-AZUL,1023.0,1228
CINTA-ADHESIVA-NEUROMUSCULAR-KIN-HIPOALERGIC-5-cm-x-1-mts-PIEL,1023.0,1228
VENDA-ADHERENTE-FLEX-HIPOALERGIC-TIPO-COBAN-75-cm-x-45-mts,937.0,1124
HIPO-PARCHE-OCULAR-ADULTO-x-5-u,561.0,673
APOSITO-PROTECTOR-FUN-EMOJI-HIPOALERGIC-x-10-unid,200.0,240
ALGABO-COCOA-BEACH-LOCION-SPRAY-BRONZER-FPS-30-x-250-ml,3803.0,4564
HIPO-AG-APOSITO-ANTIBACTERIAL-x-30-unid,862.0,1034
CINTA-ADHESIVA-HIPOALERGIC-SENSITIVE-25-cm-x-25-mts,2827.0,3392
HIPOALERGIC-APOSITO-PROTECTOR-PLASTICO-SURTIDO-x-30-unid,626.0,751
HIPO-APOSITO-PROTECTOR-OUCH-x-10-unid,189.0,227
ALG-COCOA-BEACH-PROTECTOR-SOLAR-F-50-x-130-ml,3019.0,3623
HIPO-CLINICARE-10-x-10-cm-CAJA-x-20-unid,2971.0,3565
TELA-AD-OXIDO-ZINC-FUREY-N6-MOD-2-x-12-r-25cmx4m,5560.0,6672
HIPO-APOSITO-TRANSP-FILMPAD-10x10cm-x-20-unid,3810.0,4572
BICARBONATO-DE-SODIO-DROGAL-CAJA-x-250-gr,807.0,968
ALG-COCOA-BEACH-PROTECTOR-SOLAR-SPRAY-INVISIBLE-F50-x-120-ml,2691.0,3229
TELA-AD-OXIDO-ZINC-FUREY-N7-MOD-2-x-u5cmx4m,5229.0,6275
ALGABO-COCOA-BEACH-LOCION-SPRAY-BRONZER-FPS-15-x-250-ml,2867.0,3440
ESCOFINA-DOBLE-ESMERIL-PIECITO-x-6-u,1186.0,1423
PEINE-FAMILIAR-COLOR-x-5-unidades,705.0,846
PINCEL-PARA-TINTURA-CHICO-x-12-unid,1140.0,1368
PEINE-COLA-GRANDE-COLOR-x-5-unidades,712.0,854
PINCEL-PARA-TINTURA-GRANDE-x-6-unid,873.0,1048
CEPILLO-PARA-UniAS,330.0,396
BICARBONATO-DE-SODIO-FUREY-POTE-x-100-gr,570.0,684
BICARBONATO-DE-SODIO-DROGAL-CAJA-x-100-gr,433.0,520
BICARBONATO-DE-SODIO-FUREY-CCUCHARA-x250gr,957.0,1148
VENDA-CAMBRIC-FUREY-Mod-1-15-cmx-UNIDAD,237.0,284
VENDA-CAMBRIC-FUREY-Mod-1-20-cmx-UNIDAD,317.0,380
VENDA-CAMBRIC-FUREY-Mod-2-20-cmx-UNIDAD,252.0,302
VENDA-CAMBRIC-FUREY-Mod-2-7-cm-x-24-u,2646.0,3175
VENDA-CAMBRIC-FUREY-Mod-2-10-cm-x-24-u,3552.0,4262
VENDA-CAMBRIC-FUREY-Mod-1-10-cmx-12-UNIDADES,2075.0,2490
VENDA-CAMBRIC-FUREY-Mod-1-7-cm-CAJA-x-500-u,50164.0,60197
VENDA-CAMBRIC-FUREY-Mod-2-10-cm-CAJA-x-500-u,60511.0,72613
VENDA-CAMBRIC-FUREY-Mod-2-7-cm-CAJA-x-700-u,42960.0,51552
VENDA-CAMBRIC-FUREY-Mod-1-10-cm-CAJA-x-500-u,68316.0,81979
VENDA-CAMBRIC-FUREY-5-cm-Mod-1-CAJA-x-500-u,36279.0,43535
A-GRANEL-VENDA-CAMBRIC-FUREY-Mod-2-5-cm-x-500-u,33930.0,40716
VENDA-CAMBRIC-FUREY-Mod-1-7-cmx-12-UNIDADES,1421.0,1705
VENDA-CAMBRIC-FUREY-Mod-2-5-cm-x-24-u,1897.0,2276
VENDA-CAMBRIC-FUREY-Mod-1-5-cmx-12-UNIDADES,1071.0,1285
VENDA-CAMBRIC-FUREY-Mod-2-15-cm-x-UNIDAD,183.0,220
VASELINA-MEDICINAL-FUREY-x-125-cc,577.0,692
VASELINA-MEDICINAL-FUREY-x-250-cc,1000.0,1200
ALG-COCOA-BEACH-CREMA-AUTOBRONCEANTE-x-130-ml,1779.0,2135
BICARBONATO-DE-SODIO-SOBRE-DROGAL-25grx-25u,2651.0,3181
